Franquicia,Producto,Cantidad,Venta,Fecha
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,7,483.0,2024-04-01
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-04-01
Carretera Mex-Toluca 48-5,Enchiladas ,2,240.0,2024-04-01
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-04-01
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-04-01
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,3,207.0,2024-04-01
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,3,207.0,2024-04-01
Carretera Mex-Toluca 48-5,Buñuelos ,5,195.0,2024-04-01
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,5,195.0,2024-04-01
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,4,172.0,2024-04-01
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-04-01
Carretera Mex-Toluca 48-5,Chamoyada 354ml ,2,150.0,2024-04-01
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-04-01
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-04-01
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-04-01
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,2,120.0,2024-04-01
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-04-01
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-04-01
Carretera Mex-Toluca 48-5,Adelitas Española,1,105.0,2024-04-01
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,1,99.0,2024-04-01
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-04-01
Carretera Mex-Toluca 48-5,Carlota Chocolate,1,60.0,2024-04-01
Carretera Mex-Toluca 48-5,Carlota Fresa,1,60.0,2024-04-01
Carretera Mex-Toluca 48-5,Carlota Vainilla,1,60.0,2024-04-01
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,1,29.0,2024-04-01
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,6,444.0,2024-04-02
Carretera Mex-Toluca 48-5,Sincronizadas ,3,360.0,2024-04-02
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,5,345.0,2024-04-02
Carretera Mex-Toluca 48-5,Buñuelos ,8,312.0,2024-04-02
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,5,300.0,2024-04-02
Carretera Mex-Toluca 48-5,Chamoyada 473 ml ,3,237.0,2024-04-02
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,3,207.0,2024-04-02
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,3,195.0,2024-04-02
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,4,156.0,2024-04-02
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-04-02
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-04-02
Carretera Mex-Toluca 48-5,Enchiladas ,1,120.0,2024-04-02
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-04-02
Carretera Mex-Toluca 48-5,Adelitas Española,1,105.0,2024-04-02
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,1,99.0,2024-04-02
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,1,75.0,2024-04-02
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-04-02
Carretera Mex-Toluca 48-5,Frappes. 354 ml,1,69.0,2024-04-02
Carretera Mex-Toluca 48-5,Carlota Chocolate,1,60.0,2024-04-02
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-04-02
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,9,621.0,2024-04-03
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,8,600.0,2024-04-03
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,7,518.0,2024-04-03
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,6,414.0,2024-04-03
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,6,414.0,2024-04-03
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,6,390.0,2024-04-03
